#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
47.6%	26200	52.400000000018075	-457920.52782083635	4544.455202674959	-453376.0726181614	315.8464776722833	19.09017290860271	0.9054009104194234	97.3	0:51
47.7%	26250	52.5000000000182	-457989.362895058	4699.825073438464	-453289.53782161954	326.64491757948394	19.035322085865413	0.9080098489296092	97.5	0:50
47.8%	26300	52.60000000001832	-457804.92591480445	4620.42522305809	-453184.50069174636	321.1265084518979	19.112559133066593	0.9043404293049196	97.6	0:50
47.9%	26350	52.70000000001844	-457728.54187224543	4540.354168939404	-453188.18770330603	315.56144965408924	19.275945713519096	0.8966750679003453	97.8	0:50
48.0%	26400	52.800000000018564	-457570.9984152142	4378.265604161657	-453192.7328110525	304.2960503987786	19.275945713519096	0.8966750679003453	98	0:50
48.1%	26450	52.900000000018686	-457763.4252258186	4573.711702853441	-453189.71352296515	317.8798484765445	19.21025465453494	0.8997413226603341	98.1	0:50
48.2%	26500	53.00000000001881	-457912.5395086381	4705.306827183813	-453207.2326814543	327.0259077168531	19.03137414015074	0.9081982101885264	98.3	0:50
48.3%	26550	53.10000000001893	-457722.46145015163	4653.439334093593	-453069.02211605804	323.4210388673166	19.12147129419995	0.9039189330977832	98.5	0:49
48.4%	26600	53.20000000001905	-457715.2266220978	4587.498390275985	-453127.7282318218	318.8380440064765	19.220512911657167	0.8992611181062847	98.6	0:49
48.5%	26650	53.300000000019175	-457684.159842831	4616.843075476121	-453067.3167673549	320.8775438024937	19.286289749871308	0.8961941439062139	98.8	0:49
48.5%	26700	53.4000000000193	-457721.8205348749	4662.864299965091	-453058.9562349098	324.07608818344625	19.200478745092166	0.9001994252841813	98.9	0:49
48.6%	26750	53.50000000001942	-457699.87635267293	4693.160204427317	-453006.7161482456	326.1816991501156	19.160007736237826	0.9021008847936389	99.1	0:49
48.7%	26800	53.60000000001954	-457850.1561378292	4702.751315013971	-453147.4048228152	326.8482957740579	19.160007736237826	0.9021008847936389	99.2	0:49
48.8%	26850	53.700000000019664	-457719.40462659224	4536.69401413016	-453182.7106124621	315.3070633849597	19.052298594655923	0.9072007687493023	99.4	0:48
48.9%	26900	53.800000000019786	-457908.031598318	4626.674295971636	-453281.3573023464	321.56082842655604	18.84912285700399	0.9169795360048062	99.5	0:48
49.0%	26950	53.90000000001991	-457941.7689030055	4612.458756990265	-453329.31014601525	320.57282706770536	18.84912285700399	0.9169795360048062	99.7	0:48
49.1%	27000	54.00000000002003	-458075.50898799696	4727.318919053301	-453348.19006894366	328.55578123812455	18.993164819122264	0.9100252694122551	99.8	0:48
49.2%	27050	54.10000000002015	-457952.6018439795	4595.493547635153	-453357.10829634435	319.3937194786084	18.933636182357155	0.9128864506026064	100	0:48
49.3%	27100	54.200000000020275	-457898.1572236464	4551.9238651036285	-453346.2333585428	316.365560954176	19.0662166453099	0.9065385258676824	100	0:48
49.4%	27150	54.3000000000204	-457835.4110559071	4522.740492838668	-453312.6705630684	314.3372726499891	19.134247972973704	0.903315351401653	100	0:47
49.5%	27200	54.40000000002052	-457898.00164003967	4563.483297260478	-453334.5183427792	317.168958890299	19.10826899856819	0.9045434692597347	100	0:47
49.5%	27250	54.50000000002064	-457788.6565762073	4361.7304846021	-453426.9260916052	303.146834697917	19.065993447005592	0.9065491383680131	101	0:47
49.6%	27300	54.60000000002076	-457900.8505200883	4416.713260639459	-453484.1372594488	306.96822040193314	19.11333371884742	0.9043037800605822	101	0:47
49.7%	27350	54.700000000020886	-458012.408271429	4544.5959394890815	-453467.81233193993	315.8562590927258	18.916551753380865	0.9137109213588027	101	0:47
49.8%	27400	54.80000000002101	-458114.85016596026	4569.446857002564	-453545.4033089577	317.58343526973766	18.916551753380865	0.9137109213588027	101	0:47
49.9%	27450	54.90000000002113	-457873.6765708286	4432.687759932131	-453440.98881089647	308.0784721503053	19.078415232537303	0.9059588923316675	101	0:47
50.0%	27500	55.00000000002125	-457970.9353598911	4476.234084403142	-453494.70127548795	311.1050072543696	19.078415232537303	0.9059588923316675	101	0:46
50.1%	27550	55.100000000021375	-457888.7517497812	4485.452353970148	-453403.29939581105	311.7456908661826	19.187755548248383	0.9007963379589207	102	0:46
50.2%	27600	55.2000000000215	-457982.382380255	4537.0034293197095	-453445.37895093526	315.3285682064177	18.993240207003005	0.9100216573441863	102	0:46
50.3%	27650	55.30000000002162	-457889.48345954606	4534.643656378612	-453354.83980316744	315.16456043468	19.03028891015157	0.9082500015169472	102	0:46
50.4%	27700	55.40000000002174	-457953.309318387	4501.234385535121	-453452.0749328519	312.84256581774457	18.892364612987627	0.914880708983934	102	0:46
50.5%	27750	55.50000000002186	-458015.06829033006	4493.457784457132	-453521.61050587293	312.30208033616265	18.92805707393656	0.9131555269512093	102	0:46
50.5%	27800	55.600000000021986	-458021.94012311415	4510.14927623095	-453511.7908468832	313.46216414131334	19.019050077650203	0.9087867091650547	102	0:45
50.6%	27850	55.70000000002211	-457960.0105930619	4515.857367545599	-453444.1532255163	313.8588850804707	19.052620693319614	0.90718543184841	102	0:45
50.7%	27900	55.80000000002223	-457990.9432102494	4663.105995103717	-453327.8372151457	324.09288635942136	19.052620693319614	0.90718543184841	103	0:45
50.8%	27950	55.90000000002235	-457989.9013866776	4526.595481485128	-453463.30590519245	314.6052001641022	18.953737310062472	0.9119183013229246	103	0:45
50.9%	28000	56.000000000022474	-458004.9264027593	4603.247820097953	-453401.6785826613	319.93265308782185	18.935417943948984	0.912800550939858	103	0:45
51.0%	28050	56.1000000000226	-458025.2958919031	4656.621665092185	-453368.6742268109	323.64221566230424	18.930305588583778	0.9130470636425783	103	0:45
51.1%	28100	56.20000000002272	-458088.10566284956	4684.672794170678	-453403.4328686789	325.5918113605867	18.764923789935132	0.9210940649161493	103	0:45
51.2%	28150	56.30000000002284	-458050.7345954956	4617.9994640909135	-453432.7351314047	320.9579145520145	18.83256926735012	0.9177855493928114	103	0:44
51.3%	28200	56.40000000002296	-458006.8688728394	4562.370513914153	-453444.4983589252	317.0916187725787	18.83256926735012	0.9177855493928114	103	0:44
51.4%	28250	56.500000000023086	-458027.5567736512	4472.619451954961	-453554.93732169626	310.8537848578618	18.990100383235415	0.9101721203523372	104	0:44
