#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
77.3%	4250	8.499999999999508	-457836.79610683676	4416.350569952745	-453420.445536884	306.94301285322285	19.1022209163318	0.904829862832107	398	0:00
78.2%	4300	8.599999999999541	-457762.1256960547	4380.337762440555	-453381.78793361416	304.4400685185268	18.963629190051407	0.9114426230492146	399	0:00
79.1%	4350	8.699999999999575	-457938.3251477659	4503.026265236549	-453435.2988825294	312.9671041544357	18.770367165026364	0.9208269491775193	399	0:00
80.0%	4400	8.799999999999608	-457928.04282343644	4496.338128646836	-453431.7046947896	312.50226859333065	18.648933439244672	0.9268229728966829	399	0:00
80.9%	4450	8.899999999999642	-458071.2876976123	4671.771295547951	-453399.51640206436	324.69513778477864	18.765799739444766	0.9210510701114679	400	0:00
81.8%	4500	8.999999999999675	-457995.009343648	4390.200991153717	-453604.80835249426	305.1255777618999	18.782109172225177	0.920251275989436	399	0:00
82.7%	4550	9.099999999999708	-457590.39237830945	4453.126872358262	-453137.2655059512	309.49902123234733	18.994488662561174	0.9099618441206584	399	0:00
83.6%	4600	9.199999999999742	-457520.02198357316	4397.743036640342	-453122.2789469328	305.64976127678904	18.98566681412513	0.9103846654811094	400	0:00
84.5%	4650	9.299999999999775	-457596.0722854871	4481.6506781205535	-453114.42160736653	311.4814686717071	18.81407086864347	0.9186879358640014	400	0:00
85.5%	4700	9.399999999999809	-457623.47286209965	4488.3728893129155	-453135.09997278673	311.9486724689911	18.72449234517895	0.923082966036371	401	0:00
86.4%	4750	9.499999999999842	-457579.45859070827	4409.367246854119	-453170.09134385415	306.4576613853835	18.576627095088753	0.9304304728215534	401	0:00
87.3%	4800	9.599999999999875	-457667.9099249904	4438.211135664955	-453229.6987893254	308.46235507846046	18.605070763909822	0.9290080188805931	402	0:00
88.2%	4850	9.699999999999909	-457669.1069477837	4531.800186786801	-453137.3067609969	314.96693501757545	18.552132307329334	0.9316589406105448	403	0:00
89.1%	4900	9.799999999999942	-457650.92709759815	4554.447899723891	-453096.47919787426	316.5409851598901	18.636448471705748	0.9274438720314354	403	0:00
90.0%	4950	9.899999999999975	-457597.0387985812	4443.938246454112	-453153.1005521271	308.8603978997275	18.669378973730208	0.9258079744288168	404	0:00
90.9%	5000	10.000000000000009	-457687.490107762	4574.142738090828	-453113.34736967116	317.90980607441037	18.634860470355836	0.9275229057394204	404	0:00
91.8%	5050	10.100000000000042	718133.659308373	4603.650017801672	722737.3093261747	319.96060643368673	18.790674869201816	0.9198317810203962	404	0:00
92.7%	5100	10.200000000000076	718195.3668279042	4476.543660104275	722671.9104880085	311.1265232316242	18.790674869201816	0.9198317810203962	404	0:00
93.6%	5150	10.300000000000109	718310.0292048944	4512.311065038666	722822.3402699331	313.61241171774157	18.84857096832956	0.9170063852880466	404	0:00
94.5%	5200	10.400000000000142	718475.1869394206	4332.276055613533	722807.4629950342	301.09970754339884	18.84909050472333	0.9169811098939709	404	0:00
95.5%	5250	10.500000000000176	718288.5275308086	4514.8302472924115	722803.357778101	313.7874986766782	18.879842633928106	0.9154874999038576	404	0:00
96.4%	5300	10.60000000000021	718382.9072829477	4432.0917996596545	722814.9990826073	308.03705201422747	18.988049537303272	0.9102704254882547	404	0:00
97.3%	5350	10.700000000000243	718406.824944175	4445.280352027621	722852.1052962026	308.9536762574518	18.93711935147549	0.9127185402761059	404	0:00
98.2%	5400	10.800000000000276	718374.4286203991	4458.4114201059565	722832.840040505	309.86630525601163	19.067273606459565	0.906488273481196	403	0:00
99.1%	5450	10.90000000000031	718355.8799572792	4393.4305110441055	722749.3104683233	305.3500342559041	18.944033561575832	0.9123854154571789	403	0:00
100.0%	5500	11.000000000000343	718340.8298273045	4443.498477082001	722784.3283043865	308.82983326635014	19.13855544376793	0.9031120442865693	403	0:00
